STUDY_ID,STUDY_TEXT,SUBJECT_ID,SUBJECT_TEXT,SEMESTER_TEXT
400,Biologi - bioteknologi,Analytical Chemistry - biotek,Analytical Chemistry - biotek,Bachelor blok 3
400,Biologi - bioteknologi,Uorganisk kemi 2 (KemiU2) Biotek,Uorganisk kemi 2 (KemiU2) Biotek,Bachelor blok 3
400,Biologi - bioteknologi,Videregående plantebiologi - biotek,Videregående plantebiologi - biotek,Bachelor blok 3
400,Biologi - bioteknologi,Genetik - Biotek,Genetik - Biotek,Bachelor blok 4
400,Biologi - bioteknologi,Mammalian genomics,Mammalian genomics,Bachelor blok 4
424,Biology-Biotechnology,Analytical Chemistry biotek,Analytical Chemistry biotek,Kandidat blok 3
424,Biology-Biotechnology,Anvendt matematik for kemikere (AnvMatKem) biotek,Anvendt matematik for kemikere (AnvMatKem) biotek,Kandidat blok 3
424,Biology-Biotechnology,Medical Bacteriology - biotek,Medical Bacteriology - biotek,Kandidat blok 3
424,Biology-Biotechnology,Molecular Plant-Microbe Interactions - biotek,Molecular Plant-Microbe Interactions - biotek,Kandidat blok 3
424,Biology-Biotechnology,"Sygdomslære, og farmakologi - biotek","Sygdomslære, og farmakologi - biotek",Kandidat blok 3
424,Biology-Biotechnology,Advanced Biotechnology and Intellectual Property R,Advanced Biotechnology and Intellectual Property R,Kandidat blok 4
424,Biology-Biotechnology,Anvendt spektroskopi ( AnvSPEK) - biotek,Anvendt spektroskopi ( AnvSPEK) - biotek,Kandidat blok 4
424,Biology-Biotechnology,"Feltbiologi I, II og III (Feltbio) biotek","Feltbiologi I, II og III (Feltbio) biotek",Kandidat blok 4
424,Biology-Biotechnology,Kemisk binding (KemiBin) biotek,Kemisk binding (KemiBin) biotek,Kandidat blok 4
424,Biology-Biotechnology,Laboratory Animal Science  Function ABD -BIOTEK,Laboratory Animal Science  Function ABD -BIOTEK,Kandidat blok 4
440,Climate Change,Climate change mechanisms and tipping points cli.,Climate change mechanisms and tipping points cli.,Kandidat blok 3
440,Climate Change,Global Environmental Governance - cli.change,Global Environmental Governance - cli.change,Kandidat blok 3
440,Climate Change,The Economics of Climate Change - climate change,The Economics of Climate Change - climate change,Kandidat blok 3
440,Climate Change,Energy Systems and Climate Mitigation- CLI-CHA,Energy Systems and Climate Mitigation- CLI-CHA,Kandidat blok 4
655,Datalogi,Lineær algebra i datalogi (LinAlgDat) DAT,Lineær algebra i datalogi (LinAlgDat) DAT,Bach.1.år blok 4
655,Datalogi,Implementering af programmeringssprog (IPS) DATA,Implementering af programmeringssprog (IPS) DATA,Bach.2.år blok 4
655,Datalogi,Grundkursus i de naturvidenskabelige fags.. DATA,Grundkursus i de naturvidenskabelige fags.. DATA,Bach.3.år blok 4
655,Datalogi,Approximation Algorithms (APX) DATA,Approximation Algorithms (APX) DATA,Kandidat blok 4
617,Datalogi-Økonomi,Lineær Algebra i Datalogi (LinAlgDat) MACHINE,Lineær Algebra i Datalogi (LinAlgDat) MACHINE,Bach.1.år blok 4
617,Datalogi-Økonomi,Mikroøkonomi A (MikØkA) DAT-ØK,Mikroøkonomi A (MikØkA) DAT-ØK,Bach.1.år blok 4
617,Datalogi-Økonomi,Mikroøkonomi B (MikØkB) DAT-ØK,Mikroøkonomi B (MikØkB) DAT-ØK,Bach.2.år blok 4
617,Datalogi-Økonomi,Macroeconomics B (MakØkB) DAT-ØK,Macroeconomics B (MakØkB) DAT-ØK,Bach.3.år blok 4
617,Datalogi-Økonomi,Databases and Information Systems (DIS) DAT-ØK,Databases and Information Systems (DIS) DAT-ØK,Bachelor blok 4
656,De fysiske fag,Geometri 1 (Geom1) FYSIK,Geometri 1 (Geom1) FYSIK,Bach.1.år blok 4
656,De fysiske fag,Matematik F2 (MatF2) FYSIK,Matematik F2 (MatF2) FYSIK,Bach.1.år blok 4
656,De fysiske fag,Kvantemekanik 2 (KM2) FYSIK,Kvantemekanik 2 (KM2) FYSIK,Bach.2.år blok 4
656,De fysiske fag,Statistisk Fysik (StatFys) FYSIK,Statistisk Fysik (StatFys) FYSIK,Bach.2.år blok 4
656,De fysiske fag,Almen biokemi 1 (BioK1) FYSIK,Almen biokemi 1 (BioK1) FYSIK,Bachelor blok 4
656,De fysiske fag,Analyse 1 (An1) FYSIK,Analyse 1 (An1) FYSIK,Bachelor blok 4
656,De fysiske fag,Grundkursus i de naturvidenskabelige fags.. FYSIK,Grundkursus i de naturvidenskabelige fags.. FYSIK,Bachelor blok 4
656,De fysiske fag,Grundkursus i de naturvidenskabelige fags.. FYSIK,Grundkursus i de naturvidenskabelige fags.. FYSIK,Kandidat blok 4
656,De fysiske fag,Grundkursus i de naturvidenskabelige fags.. KEMI,Grundkursus i de naturvidenskabelige fags.. KEMI,Kandidat blok 4
