fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10284,2. semester,6273789,CBS - Copenhagen Business School,106,CM Økonomisk Markedsføring (EMF),CM EMF Performance management & Marketing,CM EMF Performance management & Marketing,9788799571437
2024-04-29T16:57:18.896Z,10284,2. semester,6273789,CBS - Copenhagen Business School,106,CM Økonomisk Markedsføring (EMF),CM EMF Strategisk markedsføringsplanlægning,CM EMF Strategisk markedsføringsplanlægning,9781119392200
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Erhvervsret 2,CM AUD Erhvervsret 2,9788761939852
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,CM AUD Regnskab 2 CCMAO1026U,9788245034240
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,CM AUD Regnskab 2 CCMAO1026U,9788713050987
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,CM AUD Regnskab 2 CCMAO1026U,9788761942364
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,CM AUD Revision II CCMA2O1027U,9788761937667
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,CM AUD Revision II CCMA2O1027U,9788761939593
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,CM AUD Revision II CCMA2O1027U,9788761941374
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Skatteret 2,CM AUD Skatteret 2,9781107483507
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Skatteret 2,CM AUD Skatteret 2,9788741273273
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Skatteret 2,CM AUD Skatteret 2,9788757451795
2024-04-29T16:57:18.896Z,10172,2. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Skatteret 2,CM AUD Skatteret 2,9788757454369
2024-04-29T16:57:18.896Z,10173,4. semester,6273789,CBS - Copenhagen Business School,117,Cand.merc.aud.,CM AUD Intern revision CCMAV3000U,CM AUD Intern revision CCMAV3000U,9781634541374
2024-04-29T16:57:18.896Z,10200,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,119,Cand.merc.jur.,CJURV1601U Regulering af markeder,CJURV1601U Regulering af markeder,9781108793629
2024-04-29T16:57:18.896Z,10200,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,119,Cand.merc.jur.,CJURV1601U Regulering af markeder,CJURV1601U Regulering af markeder,9781108888721
